iter	Logloss
0	0.6791463016
1	0.6671077233
2	0.6589182686
3	0.6497640375
4	0.6415708545
5	0.6351766552
6	0.6290288816
7	0.6222796962
8	0.6165985158
9	0.6130926724
10	0.6098434774
11	0.6060836316
12	0.602160384
13	0.5984932234
14	0.5952636318
15	0.593276271
16	0.5915715761
17	0.5894220963
18	0.585792539
19	0.5835695364
20	0.5812984272
21	0.5788640766
22	0.5760390208
23	0.574603522
24	0.572923121
25	0.5712638868
26	0.5693777501
27	0.568207639
28	0.5664721159
29	0.5650206618
30	0.563311076
31	0.5610956101
32	0.5596950688
33	0.5581479628
34	0.5575849962
35	0.5562190916
36	0.5549818318
37	0.5533970023
38	0.5520692221
39	0.551090134
40	0.5504153999
41	0.5487074177
42	0.5474064969
43	0.5454280759
44	0.544253996
45	0.5430539787
46	0.5420163209
47	0.5404830857
48	0.5393146584
49	0.5375711175
50	0.536281622
51	0.5350251196
52	0.5343092544
53	0.5326609644
54	0.5316581839
55	0.5305785531
56	0.5293816227
57	0.5286481184
58	0.5276787318
59	0.5266024685
60	0.5260265532
61	0.5248761257
62	0.5238540223
63	0.5227213542
64	0.5216783646
65	0.5205807741
66	0.5191085139
67	0.5178118826
68	0.5166552013
69	0.5155282257
70	0.5145426833
71	0.514342921
72	0.5131905692
73	0.5123972124
74	0.5114495539
75	0.5106587628
76	0.5100237967
77	0.5089341839
78	0.5080773264
79	0.5067263749
80	0.5061562724
81	0.5055514531
82	0.5044627223
83	0.5037493025
84	0.5027120456
85	0.501341691
86	0.500384772
87	0.4993477156
88	0.4985511517
89	0.4969301622
90	0.4966396789
91	0.4954473987
92	0.4945638422
93	0.4936933145
94	0.49346549
95	0.4931934476
96	0.4921703019
97	0.4916670676
98	0.4911325239
99	0.490072256
100	0.489486559
101	0.4883836367
102	0.4876749474
103	0.4868452301
104	0.4860371607
105	0.4851754926
106	0.4841469751
107	0.4836975799
108	0.4832522337
109	0.4821431779
110	0.4819476649
111	0.4813420438
112	0.4801631934
113	0.4790720973
114	0.4784906096
115	0.4776926025
116	0.477028091
117	0.4763445774
118	0.475387899
119	0.4746014775
120	0.4739324761
121	0.4731500635
122	0.4723926262
123	0.4716025567
124	0.4709770115
125	0.4703972878
126	0.4695666885
127	0.4684832894
128	0.4679558815
129	0.4676158886
130	0.4671024717
131	0.4665852063
132	0.4660973259
133	0.4655219318
134	0.4651611729
135	0.4644491963
136	0.4637841236
137	0.4635708112
138	0.4631207746
139	0.4624788331
140	0.4623883528
141	0.4617025942
142	0.4611514538
143	0.4601352435
144	0.4598007428
145	0.4597082179
146	0.4588221758
147	0.4584875148
148	0.4577668389
149	0.4572350212
150	0.4571795785
151	0.4571453426
152	0.4563921949
153	0.4555101617
154	0.4547455485
155	0.4536934588
156	0.4529802795
157	0.4527657244
158	0.4525154903
159	0.4519148803
160	0.4518126139
161	0.4509961258
162	0.4497040246
163	0.4490333795
164	0.4489727252
165	0.4486335341
166	0.4483218439
167	0.4480403405
168	0.4477417193
169	0.4473658469
170	0.4467795887
171	0.4465318401
172	0.4460668103
173	0.445881039
174	0.4454690867
175	0.4446715607
176	0.4441024204
177	0.443467775
178	0.442722645
179	0.4420772559
180	0.4413658405
181	0.4408024329
182	0.4407744509
183	0.4402785528
184	0.439953954
185	0.4393535846
186	0.4390125494
187	0.4385459161
188	0.4382833747
189	0.4377887594
