iter	Passed	Remaining
0	112	67376
1	203	60954
2	289	57637
3	376	56104
4	456	54348
5	530	52486
6	614	52073
7	710	52542
8	784	51495
9	860	50765
10	933	50006
11	1005	49281
12	1081	48853
13	1164	48726
14	1238	48313
15	1320	48195
16	1395	47846
17	1474	47689
18	1550	47424
19	1623	47091
20	1701	46912
21	1777	46695
22	1850	46417
23	1925	46219
24	2000	46013
25	2075	45826
26	2149	45608
27	2224	45444
28	2304	45373
29	2378	45195
30	2493	45771
31	2586	45913
32	2674	45950
33	2746	45724
34	2813	45418
35	2890	45277
36	2974	45256
37	3042	44995
38	3123	44930
39	3202	44841
40	3318	45246
41	3407	45266
42	3480	45081
43	3551	44876
44	3628	44751
45	3702	44589
46	3774	44413
47	3846	44229
48	3928	44171
49	4016	44182
50	4089	44022
51	4165	43894
52	4239	43759
53	4315	43634
54	4390	43509
55	4473	43460
56	4545	43297
57	4628	43256
58	4700	43104
59	4768	42913
60	4842	42792
61	4920	42698
62	4992	42552
63	5059	42376
64	5133	42254
65	5213	42181
66	5282	42021
67	5352	41876
68	5424	41743
69	5501	41652
70	5570	41505
71	5644	41395
72	5718	41279
73	5800	41233
74	5894	41259
75	5979	41224
76	6057	41145
77	6133	41049
78	6207	40940
79	6285	40858
80	6413	41094
81	6497	41048
82	6570	40929
83	6642	40802
84	6717	40697
85	6791	40588
86	6862	40467
87	6937	40364
88	7016	40286
89	7093	40194
90	7222	40397
91	7307	40347
92	7391	40293
93	7473	40229
94	7544	40104
95	7617	39992
96	7694	39897
97	7768	39795
98	7842	39688
99	7918	39592
100	7993	39492
101	8073	39417
102	8145	39304
103	8228	39242
104	8299	39124
105	8383	39071
106	8455	38957
107	8532	38870
108	8601	38746
109	8678	38657
110	8741	38511
111	8807	38376
112	8876	38255
113	8951	38161
114	9027	38071
115	9096	37956
116	9164	37834
117	9236	37727
118	9305	37613
119	9371	37487
120	9440	37370
121	9507	37249
122	9574	37128
123	9641	37010
124	9709	36896
125	9776	36780
126	9850	36688
127	9921	36584
128	9986	36461
129	10055	36355
130	10126	36254
131	10191	36133
132	10262	36033
133	10330	35926
134	10395	35807
135	10475	35740
136	10549	35654
137	10616	35542
138	10683	35431
139	10752	35328
140	10818	35218
141	10882	35099
142	10948	34989
143	11018	34892
144	11082	34777
145	11171	34740
