iter	Passed	Remaining
0	13	6906
1	31	7774
2	48	7987
3	62	7796
4	82	8165
5	97	8004
6	113	8026
7	128	7895
8	143	7846
9	159	7808
10	173	7720
11	189	7700
12	204	7669
13	220	7643
14	236	7659
15	252	7652
16	268	7631
17	282	7575
18	300	7616
19	317	7618
20	332	7587
21	348	7578
22	364	7552
23	378	7511
24	392	7462
25	411	7502
26	424	7436
27	437	7372
28	452	7344
29	467	7319
30	481	7286
31	494	7237
32	509	7216
33	522	7159
34	531	7059
35	544	7013
36	557	6976
37	571	6951
38	586	6928
39	600	6906
40	616	6901
41	631	6887
42	647	6878
43	663	6872
44	681	6888
45	700	6910
46	712	6866
47	727	6853
48	743	6843
49	758	6822
50	771	6794
51	785	6766
52	798	6730
53	812	6707
54	827	6691
55	841	6675
56	857	6667
57	872	6647
58	887	6637
59	900	6600
60	914	6583
61	929	6569
62	946	6568
63	953	6496
64	967	6471
65	982	6460
66	998	6450
67	1012	6431
68	1025	6406
69	1039	6385
70	1054	6372
71	1071	6369
72	1084	6346
73	1099	6328
74	1114	6314
75	1129	6300
76	1143	6279
77	1156	6256
78	1171	6240
79	1184	6216
80	1198	6199
81	1213	6183
82	1227	6167
83	1244	6163
84	1259	6150
85	1274	6135
86	1288	6116
87	1304	6108
88	1320	6098
89	1335	6084
90	1349	6063
91	1362	6042
92	1376	6025
93	1391	6008
94	1403	5984
95	1418	5968
96	1432	5950
97	1447	5937
98	1462	5922
99	1475	5900
100	1484	5866
101	1497	5844
102	1512	5828
103	1526	5813
104	1540	5796
105	1555	5783
106	1569	5765
107	1583	5746
108	1596	5726
109	1611	5712
110	1623	5690
111	1637	5672
112	1652	5657
113	1666	5641
114	1679	5622
115	1692	5601
116	1701	5569
117	1716	5556
118	1731	5544
119	1744	5524
120	1760	5515
121	1774	5497
122	1788	5481
123	1797	5450
124	1809	5429
125	1828	5427
126	1844	5416
127	1860	5408
128	1874	5390
129	1889	5378
130	1905	5368
131	1920	5354
132	1937	5345
133	1954	5338
134	1967	5319
135	1982	5306
136	1997	5292
137	2012	5278
138	2027	5264
139	2041	5250
140	2055	5234
141	2071	5222
142	2086	5209
143	2101	5194
144	2113	5173
145	2126	5155
146	2139	5138
147	2153	5121
148	2168	5108
149	2181	5090
150	2194	5072
151	2208	5055
152	2221	5037
153	2235	5023
154	2250	5008
155	2265	4996
156	2280	4982
157	2291	4959
158	2305	4944
159	2319	4928
160	2332	4912
161	2346	4894
162	2359	4879
163	2371	4858
164	2385	4843
165	2400	4828
166	2414	4814
167	2428	4799
168	2442	4782
169	2466	4787
170	2478	4768
171	2490	4750
172	2505	4735
173	2518	4718
174	2531	4702
175	2545	4686
176	2560	4672
177	2574	4658
178	2588	4641
179	2601	4624
180	2615	4609
181	2630	4596
182	2642	4576
183	2655	4560
184	2670	4546
185	2683	4531
186	2697	4515
187	2711	4499
188	2725	4485
189	2738	4468
190	2752	4452
191	2765	4436
192	2779	4420
193	2792	4405
194	2808	4392
195	2823	4378
196	2837	4364
197	2852	4351
198	2866	4335
199	2881	4322
200	2892	4302
201	2905	4286
202	2918	4270
203	2934	4257
204	2946	4240
205	2958	4222
206	2968	4201
207	3011	4227
208	3020	4205
209	3029	4184
210	3044	4170
211	3059	4155
212	3071	4139
213	3088	4127
214	3107	4118
215	3123	4106
216	3137	4091
217	3145	4069
218	3158	4052
219	3171	4036
220	3185	4021
221	3198	4005
222	3213	3991
223	3227	3976
224	3240	3961
225	3250	3940
226	3263	3925
227	3276	3909
228	3292	3895
229	3303	3878
230	3316	3862
231	3329	3846
232	3343	3831
233	3352	3810
234	3365	3794
235	3375	3775
236	3388	3759
237	3398	3740
238	3411	3725
239	3425	3710
240	3439	3696
241	3453	3681
242	3467	3667
243	3483	3655
244	3499	3642
245	3513	3628
246	3528	3614
247	3542	3599
248	3560	3589
249	3576	3576
250	3591	3563
251	3608	3550
252	3623	3537
253	3637	3523
254	3651	3508
255	3660	3489
256	3673	3473
257	3687	3458
258	3701	3443
259	3713	3428
260	3727	3413
261	3741	3398
262	3750	3379
263	3762	3363
264	3775	3347
265	3789	3333
266	3802	3318
267	3816	3304
268	3830	3289
269	3844	3275
270	3858	3260
271	3872	3246
272	3885	3231
273	3905	3221
274	3921	3208
275	3938	3196
276	3953	3182
277	3964	3165
278	3980	3152
279	3997	3141
280	4014	3128
281	4031	3116
282	4046	3103
283	4066	3092
284	4083	3080
285	4101	3069
286	4118	3056
287	4132	3042
288	4145	3026
289	4158	3011
290	4172	2996
291	4181	2978
292	4194	2963
293	4207	2948
294	4223	2934
295	4237	2920
296	4246	2902
297	4297	2913
298	4312	2898
299	4326	2884
300	4340	2869
301	4355	2855
302	4368	2840
303	4382	2825
304	4395	2810
305	4409	2795
306	4423	2780
307	4436	2765
308	4450	2750
309	4464	2736
310	4478	2721
311	4493	2707
312	4507	2693
313	4531	2684
314	4546	2670
315	4564	2657
316	4582	2645
317	4595	2630
318	4609	2615
319	4624	2601
320	4636	2585
321	4651	2571
322	4664	2555
323	4678	2541
324	4691	2526
325	4705	2511
326	4720	2497
327	4735	2483
328	4748	2467
329	4762	2453
330	4777	2439
331	4790	2423
332	4804	2409
333	4818	2394
334	4832	2380
335	4846	2365
336	4860	2350
337	4873	2336
338	4890	2322
339	4904	2308
340	4918	2293
341	4933	2279
342	4948	2264
343	4962	2250
344	4977	2236
345	4986	2219
346	4999	2204
347	5014	2190
348	5028	2175
349	5041	2160
350	5054	2145
351	5068	2131
352	5082	2116
353	5096	2102
354	5110	2087
355	5124	2072
356	5138	2058
357	5152	2043
358	5165	2028
359	5179	2014
360	5193	1999
361	5204	1983
362	5218	1969
363	5228	1953
364	5241	1938
365	5254	1923
366	5268	1909
367	5282	1894
368	5296	1880
369	5309	1865
370	5323	1850
371	5335	1835
